countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,DaysToSettle,DaysLate,payment_delay_days,is_late,invoice_age_days,days_until_due,PaperlessBill_Electronic,PaperlessBill_Paper
391,0379-NEVHP,4/6/2013,611365,2013-01-02,2013-02-01,55.94,0,2013-01-15,13,0,-17,0,4809,-4780,False,True
406,8976-AMJEO,3/3/2012,7900770,2013-01-26,2013-02-25,61.74,1,2013-03-03,36,6,6,1,4785,-4756,True,False
391,2820-XGXSB,1/26/2012,9231909,2013-07-03,2013-08-02,65.88,0,2013-07-08,5,0,-25,0,4627,-4598,True,False
406,9322-YCTQO,4/6/2012,9888306,2013-02-10,2013-03-12,105.92,0,2013-03-17,35,5,5,1,4770,-4741,True,False
818,6627-ELFBK,11/26/2012,15752855,2012-10-25,2012-11-24,72.27,1,2012-11-28,34,4,4,1,4878,-4849,False,True
818,5148-SYKLB,8/28/2013,18104516,2012-01-27,2012-02-26,94.0,1,2012-02-22,26,0,-4,0,5150,-5121,False,True
897,8690-EEBEO,12/5/2012,23864272,2013-08-13,2013-09-12,74.69,0,2013-09-09,27,0,-3,0,4586,-4557,True,False
770,4460-ZXNDN,6/27/2013,27545037,2012-12-16,2013-01-15,75.06,0,2013-01-12,27,0,-3,0,4826,-4797,False,True
770,3831-FXWYK,3/8/2013,28049695,2012-05-14,2012-06-13,80.07,1,2012-07-01,48,18,18,1,5042,-5013,False,True
897,7654-DOLHO,4/4/2012,32277701,2013-07-01,2013-07-31,48.33,0,2013-07-26,25,0,-5,0,4629,-4600,True,False
770,3993-QUNVJ,12/31/2012,35868002,2012-03-31,2012-04-30,75.33,0,2012-04-16,16,0,-14,0,5086,-5057,False,True
406,5284-DJOZO,9/11/2012,36478577,2013-08-07,2013-09-06,73.35,0,2013-08-15,8,0,-22,0,4592,-4563,True,False
818,5924-UOPGH,6/6/2013,36620839,2013-05-08,2013-06-07,90.08,1,2013-06-09,32,2,2,1,4683,-4654,False,True
406,9117-LYRCE,7/5/2013,41324194,2012-10-21,2012-11-20,57.17,0,2012-11-30,40,10,10,1,4882,-4853,False,True
818,7695-NKUXM,11/21/2012,42511106,2012-11-07,2012-12-07,50.02,0,2012-11-18,11,0,-19,0,4865,-4836,False,True
391,8820-BLYDZ,3/19/2013,46372811,2013-02-21,2013-03-23,61.96,0,2013-02-28,7,0,-23,0,4759,-4730,False,True
406,8976-AMJEO,3/3/2012,46937392,2013-05-16,2013-06-15,69.88,0,2013-06-04,19,0,-11,0,4675,-4646,True,False
818,5148-SYKLB,8/28/2013,49331333,2013-05-29,2013-06-28,68.8,1,2013-07-10,42,12,12,1,4662,-4633,False,True
818,3568-JJMFW,1/9/2012,52765186,2013-10-20,2013-11-19,96.23,1,2013-11-09,20,0,-10,0,4518,-4489,True,False
